point_id,name,point_type,lon,lat,nearest_station,connector_distance_m,connector_time_min
District:KARTUSKI,KARTUSKI,District,18.054548692021978,54.300561521022345,Somonino,9805.779824486006,147.08669736729007
District:KATOWICE,KATOWICE,District,19.003794512915594,50.25472626707485,Katowice Ligota,3693.738021743181,55.40607032614771
District:KAŁUSKI,KAŁUSKI,District,24.302215370102182,48.94907142158068,Dolina,23587.62492312385,353.81437384685773
District:KIELECKI,KIELECKI,District,20.66275851564129,50.89278099355134,Kielce,5693.862807676781,85.4079421151517
District:KOBRYŃSKI,KOBRYŃSKI,District,24.490192607884133,52.14353357686303,Kamień Poleski,6802.6952382905665,102.04042857435849
District:KOLBUSZOWSKI,KOLBUSZOWSKI,District,21.84061831385073,50.28824739743256,Dęba Rozalin,17115.71021180831,256.7356531771246
District:KOLSKI,KOLSKI,District,18.701263153805684,52.24145051763245,Koło,6259.345069664702,93.89017604497053
District:KONECKI,KONECKI,District,20.40423165441329,51.152269528691654,Końskie,4530.329784894301,67.95494677341452
District:KONIŃSKI,KONIŃSKI,District,18.121131526386613,52.21855276252433,Konin,9033.537387890196,135.50306081835294
District:KOPYCZYNIECKI,KOPYCZYNIECKI,District,26.015474531488692,49.105885178095924,Kopyczyńce,7809.574669641036,117.14362004461553
District:KOSOWSKI (KOSÓW HUCULSKI),KOSOWSKI (KOSÓW HUCULSKI),District,24.880007249362514,48.114871133520786,Worochta,30688.34843381078,460.3252265071617
District:KOSTOPOLSKI,KOSTOPOLSKI,District,26.591645958757244,50.98589874310796,Kostopol,16477.323317556675,247.1598497633501
District:KOSZYRSKI,KOSZYRSKI,District,25.119058767053023,51.679742655635614,Dalniki,11824.914136129937,177.37371204194906
District:KOWELSKI,KOWELSKI,District,24.771271445748045,51.33515386912191,Kowel,14367.878695729398,215.51818043594096
District:KOZIENICKI,KOZIENICKI,District,21.526398013618998,51.523161317323655,Kozienice,7066.807004120322,106.00210506180481
District:KOŁOMYJSKI,KOŁOMYJSKI,District,25.015055988932527,48.520170368158034,Kołomyja,3679.5838159501877,55.19375723925281
District:KOŚCIAŃSKI,KOŚCIAŃSKI,District,16.618306987455565,52.066803475000775,Kościan,2105.948518930645,31.58922778395968
District:KOŚCIERSKI,KOŚCIERSKI,District,18.08071070229922,54.0592267064926,Kościerzyna,9608.982534879031,144.13473802318546
District:KRAKOWSKI,KRAKOWSKI,District,19.919410775513274,50.030334636255574,Kraków Płaszów,4001.5219013985593,60.022828520978386
District:KRAKÓW (MIASTO),KRAKÓW (MIASTO),District,19.93916144912856,50.05692478626833,Kraków Płaszów,3527.954235273143,52.91931352909714
District:KRASNOSTAWSKI,KRASNOSTAWSKI,District,22.96641747202857,50.94429715561606,Krasnystaw,15668.194177576366,235.02291266364549
District:KROTOSZYŃSKI,KROTOSZYŃSKI,District,17.444640265460443,51.76369604219028,Koźmin Wielkopolski,6917.169824382779,103.75754736574167
District:KROŚNIEŃSKI,KROŚNIEŃSKI,District,21.685896508483022,49.66793522506022,Krosno,5410.353852816648,81.15530779224972
District:KRZEMIENIECKI,KRZEMIENIECKI,District,25.846449165563318,49.97472885662057,Krzemieniec,18973.759602439888,284.6063940365983
District:KUTNOWSKI,KUTNOWSKI,District,19.355954497293993,52.2469025885768,Kutno,2242.4583792155745,33.636875688233616
District:KĘPIŃSKI,KĘPIŃSKI,District,17.967421943597778,51.32161231470531,Kępno,4924.225413306237,73.86338119959355
District:LESKI,LESKI,District,22.44554890161702,49.30657534237683,Cisna,14261.296810523103,213.91945215784654
District:LESZCZYŃSKI,LESZCZYŃSKI,District,16.574194570512816,51.86955018586502,Leszno,2584.7217901315425,38.77082685197313
District:LIDZKI,LIDZKI,District,25.270473481622442,53.97781487873793,Lida,10755.711331582823,161.33566997374234
District:LIMANOWSKI,LIMANOWSKI,District,20.28449275073591,49.67872097810037,Limanowa,10361.721379329943,155.42582068994912
District:LIPNOWSKI,LIPNOWSKI,District,19.1457909485387,52.84872017829748,Lipno Płockie,1618.5292790052567,24.277939185078854
District:LUBACZOWSKI,LUBACZOWSKI,District,23.14869053856468,50.21811782646666,Lubaczów,7001.317429848506,105.01976144772759
District:LUBARTOWSKI,LUBARTOWSKI,District,22.596514700235407,51.47348683167268,Lubartów,3214.2278930154966,48.213418395232445
District:LUBAWSKI,LUBAWSKI,District,19.603702151892648,53.46066937477384,Nowe Miasto Lubawskie,3420.55196633099,51.30827949496485
District:LUBELSKI,LUBELSKI,District,22.5870571811902,51.164275164190705,Lublin,6411.514571429689,96.17271857144533
District:LUBLINIECKI,LUBLINIECKI,District,18.825623925372515,50.647131671210424,Strzebiń,6550.590720785835,98.25886081178753
District:LUBOMELSKI,LUBOMELSKI,District,23.94862910667788,51.36832892303446,Luboml,17124.814106217676,256.87221159326515
District:LWOWSKI,LWOWSKI,District,24.055831980917944,49.782172024451675,Lwów,6874.137296607674,103.11205944911511
District:LWÓW (MIASTO),LWÓW (MIASTO),District,24.02170804373554,49.839776532707475,Lwów,751.0280016346004,11.265420024519006
District:M. ST. WARSZAWA,M. ST. WARSZAWA,District,21.021244106455146,52.23765790706215,Warszawa Śródmieście,1305.2088277033881,19.578132415550822
District:MAKOWSKI (MAKÓW MAZOWIECKI),MAKOWSKI (MAKÓW MAZOWIECKI),District,21.214834418178537,52.93938696319394,Maków Mazowiecki,11916.012680786404,178.74019021179603
District:MIECHOWSKI,MIECHOWSKI,District,20.120362627577226,50.30009989688611,Miechów,9112.905229764128,136.6935784464619
District:MIELECKI,MIELECKI,District,21.392499759671725,50.29145916503474,Mielec,2636.745308891072,39.55117963336608
District:MIĘDZYCHODZKI,MIĘDZYCHODZKI,District,16.014052981525623,52.59613120684135,Międzychód,8220.30561942557,123.30458429138353
District:MIŃSKI,MIŃSKI,District,21.650521314384534,52.15560120255092,Mińsk Mazowiecki,6956.829115426493,104.35243673139739
District:MOGILEŃSKI,MOGILEŃSKI,District,18.10267982131202,52.63257190904869,Strzelno,4794.418981071481,71.9162847160722
District:MORSKI,MORSKI,District,18.26419310994877,54.60592457965519,Wejherowo,2299.6851036880616,34.49527655532093
District:MOŁODECZAŃSKI,MOŁODECZAŃSKI,District,26.87615888687388,54.21409265541142,Mołodeczno,10658.593257852308,159.8788988677846
District:MOŚCISKI,MOŚCISKI,District,23.182143384289677,49.77265038686626,Medyka,17380.187768812204,260.702816532183
District:MYŚLENICKI,MYŚLENICKI,District,19.9414735022134,49.77281379755347,Chabówka,19564.59127128755,293.4688690693132
District:MŁAWSKI,MŁAWSKI,District,20.21768911080459,53.08113681863883,Mława,11375.886879949248,170.63830319923872
District:NADWÓRNIAŃSKI,NADWÓRNIAŃSKI,District,24.47840089592582,48.516651103700646,Delatyn,10235.894798639505,153.53842197959256
