station;coords;wiki_link
Będzin Grodziec;50.366667, 19.072500;https://pl.wikipedia.org/wiki/Będzin_Grodziec
Będzin Wojkowice;50.356611, 19.059833;https://www.atlaskolejowy.net/pl/slaskie/?id=baza&poz=4469
Błonie;52.186389, 20.608056;https://pl.wikipedia.org/wiki/Błonie_(stacja_kolejowa)
Błotnica;51.992778, 16.300278;https://pl.wikipedia.org/wiki/Błotnica_(przystanek_kolejowy)
Błąkały;54.288889, 22.553889;https://pl.wikipedia.org/wiki/Błąkały_(stacja_kolejowa)
Cecenowo;54.640833, 17.539167;https://pl.wikipedia.org/wiki/Cecenowo_(stacja_kolejowa)
Cedry Małe;54.275000, 18.874167;https://pl.wikipedia.org/wiki/Cedry_Małe_(przystanek_kolejowy)
Cedry Wielkie;54.243889, 18.844167;https://pl.wikipedia.org/wiki/Cedry_Wielkie_(przystanek_kolejowy)
Cegielnia;52.374444, 18.204167;https://pl.wikipedia.org/wiki/Cegielnia_(stacja_kolejowa)
Cernauti;48.300833, 25.929167;https://pl.wikipedia.org/wiki/Czerniowce_(stacja_kolejowa)
Chabówka;49.596944, 19.936111;https://pl.wikipedia.org/wiki/Chabówka_(stacja_kolejowa)
Charsznica;50.395833, 19.942222;https://pl.wikipedia.org/wiki/Charsznica_(stacja_kolejowa)
Chałupki;49.925556, 18.311667;https://pl.wikipedia.org/wiki/Chałupki_(stacja_kolejowa)
Chełm;51.140833, 23.494444;https://pl.wikipedia.org/wiki/Chełm_(stacja_kolejowa)
Chełmno;53.349167, 18.438611;https://pl.wikipedia.org/wiki/Chełmno_(stacja_kolejowa)
Chełmsko Śląskie;50.671672, 16.061964;https://pl.wikipedia.org/wiki/Chełmsko_Śląskie_(stacja_kolejowa)
Chełmża;53.184722, 18.598889;https://pl.wikipedia.org/wiki/Chełmża_(stacja_kolejowa)
Chinocze;51.558722, 26.155222;https://www.atlaskolejowy.net/ua/rowienski/?id=baza&poz=29710
Chlumec nad Cidlinou;50.163333, 15.457222;https://pl.wikipedia.org/wiki/Chlumec_nad_Cidlinou_(stacja_kolejowa)
Choceň;49.993611, 16.223611;https://pl.wikipedia.org/wiki/Choceň_(stacja_kolejowa)
Chocianów;51.416389, 15.911944;https://pl.wikipedia.org/wiki/Chocianów_(stacja_kolejowa)
Choczewo;54.745833, 17.898056;https://pl.wikipedia.org/wiki/Choczewo_(przystanek_kolejowy)
Chodorów;49.400556, 24.308889;https://pl.wikipedia.org/wiki/Chodorów_(stacja_kolejowa)
Chodzież;52.993889, 16.909444;https://pl.wikipedia.org/wiki/Chodzież_(stacja_kolejowa)
Chojna;52.963333, 14.444167;https://pl.wikipedia.org/wiki/Chojna_(stacja_kolejowa)
Chojnice;53.687778, 17.575556;https://pl.wikipedia.org/wiki/Chojnice_(stacja_kolejowa)
Chojnów;51.277500, 15.937500;https://pl.wikipedia.org/wiki/Chojnów_(stacja_kolejowa)
Chorzele;53.279722, 20.941944;https://pl.wikipedia.org/wiki/Chorzele_(stacja_kolejowa)
Chorzew Siemkowice;51.2096366,18.9411517;https://pl.wikipedia.org/wiki/Chorzew_Siemkowice
Chorzów Batory;50.2782760,18.9449635;https://pl.wikipedia.org/wiki/Chorzów_Batory_(stacja_kolejowa)
Chorzów Maciejkowice Wąskotorowe;50.320556, 18.968056;https://pl.wikipedia.org/wiki/Chorzów_Maciejkowice_Wąskotorowe
Chorzów Miasto;50.2984743,18.9492704;https://pl.wikipedia.org/wiki/Chorzów_Miasto
Chorzów Stary;50.3168303,18.9569566;https://pl.wikipedia.org/wiki/Chorzów_Stary_(stacja_kolejowa)
Choszczno;53.164722, 15.403611;https://pl.wikipedia.org/wiki/Choszczno_(stacja_kolejowa)
Chryplin;48.890556, 24.741944;https://pl.wikipedia.org/wiki/Chryplin_(stacja_kolejowa)
Chrzanów;50.133333, 19.398056;https://pl.wikipedia.org/wiki/Chrzanów_(stacja_kolejowa)
Chrzypsko;52.628611, 16.228333;https://pl.wikipedia.org/wiki/Chrzypsko_Wielkie_(stacja_kolejowa)
Chuchelna;49.9887954,18.1131825;https://cs.wikipedia.org/wiki/Chuchelná_(železniční_zastávka)
Chwarstnica;53.217889, 14.606944;https://pl.wikipedia.org/wiki/Chwarstnica_(stacja_kolejowa)
Chybie;49.893056, 18.811389;https://pl.wikipedia.org/wiki/Chybie_(stacja_kolejowa)
Chyrzyno;52.577522, 14.643633;https://pl.wikipedia.org/wiki/Chyrzyno_(przystanek_kolejowy)
Chyrów;49.531667, 22.850556;https://pl.wikipedia.org/wiki/Chyrów_(stacja_kolejowa)
Ciasna;50.757778, 18.628056;https://pl.wikipedia.org/wiki/Ciasna_(stacja_kolejowa)
Cichowierz;51.673361, 25.798111;https://www.atlaskolejowy.net/ua/rowienski/?id=baza&poz=29720
Ciechanów;52.883611, 20.590833;https://pl.wikipedia.org/wiki/Ciechanów_(stacja_kolejowa)
Ciechocinek;52.881944, 18.790278;https://pl.wikipedia.org/wiki/Ciechocinek_(stacja_kolejowa)
Cieleśnica;52.159556, 23.355750;https://www.atlaskolejowy.net/pl/lubelskie/?id=baza&poz=8626
Cieplice Zdrój;50.870111, 15.688361;https://www.atlaskolejowy.net/pl/dolnoslaskie/?id=baza&poz=641
Ciepłowody;50.674167, 16.913889;https://pl.wikipedia.org/wiki/Ciepłowody_(stacja_kolejowa)
Cieszyn;49.750833, 18.637222;https://pl.wikipedia.org/wiki/Cieszyn_(stacja_kolejowa)
Cieszyn Zachodni;49.743333, 18.623056;https://pl.wikipedia.org/wiki/Český_Těšín_(Czeski_Cieszyn)
Cisna;49.206500, 22.323056;https://www.atlaskolejowy.net/pl/podkarpackie/?id=baza&poz=7567
Cottbus;51.750833, 14.326389;https://pl.wikipedia.org/wiki/Cottbus_(stacja_kolejowa)
Cranz;54.95, 20.483333;https://pl.wikipedia.org/wiki/Zielenogradsk
Cudzynowice;50.300000, 20.483333;https://pl.wikipedia.org/wiki/Cudzynowice_(stacja_kolejowa)
Cybinka;52.201389, 14.803889;https://pl.wikipedia.org/wiki/Cybinka_(stacja_kolejowa)
Czajcze;53.1903, 17.120017;https://pl.wikipedia.org/wiki/Czajcze_(przystanek_kolejowy)
Czaplinek;53.537500, 16.238611;https://pl.wikipedia.org/wiki/Czaplinek_(stacja_kolejowa)
Czarne;53.680000, 16.937778;https://pl.wikipedia.org/wiki/Czarne_(stacja_kolejowa)
Czarnków;52.896111, 16.550000;https://pl.wikipedia.org/wiki/Czarnków_(stacja_kolejowa)
Czarnowo koło Torunia;53.103333, 18.245278;https://pl.wikipedia.org/wiki/Czarnowo_(stacja_kolejowa)
Czechowice Dziedzice;49.914722, 19.005000;https://pl.wikipedia.org/wiki/Czechowice-Dziedzice_(stacja_kolejowa)
Czempiń;52.139444, 16.752778;https://pl.wikipedia.org/wiki/Czempiń_(stacja_kolejowa)
Czeremcha;52.517778, 23.353611;https://pl.wikipedia.org/wiki/Czeremcha_(stacja_kolejowa)
Czermin;51.937222, 17.754444;https://pl.wikipedia.org/wiki/Czermin_(stacja_kolejowa)
Czersk;53.800833, 17.972222;https://pl.wikipedia.org/wiki/Czersk_(stacja_kolejowa)
