line_id;station_1;station_2;opened;closed;electrified;gauge_mm;source;comment
L_c3402b9fb6;Janów Poleski;Pińsk;1882-01-01;;false;;Semaforek;
L_0810e3b664;Kluczbork;Olesno;1883-01-01;;false;;Lijewski;
L_030176ec0c;Dolina;Wygoda;1883-01-01;;false;;;
L_bf46cacf04;Kondratowice;Strzelin;1883-01-01;;false;;Lijewski;
L_5bcd54c4f5;Gardeja;Grudziądz;1883-01-01;;false;;Lijewski;
L_50a713a19c;Gardeja;Kwidzyn;1883-01-01;;false;;Lijewski;
L_8060a540d0;Kwidzyn;Sztum;1883-01-01;;false;;Lijewski;
L_f81b0adebe;Malbork;Sztum;1883-01-01;;false;;Lijewski;
L_fb43c79eca;Laskowice Pomorskie;Wierzchucin;1883-01-01;;false;;Lijewski;
L_a8800ebee9;Tuchola;Wierzchucin;1883-01-01;;false;;Lijewski;
L_5c99930fe8;Chojnice;Tuchola;1883-01-01;;false;;Lijewski;
L_460988fa77;Morąg;Olsztyn;1883-01-01;;false;;Lijewski;
L_b949a1bc88;Chełmno;Kornatowo;1883-01-01;;false;;Lijewski;
L_e948ba0882;Głazów;Myślibórz;1883-01-01;;false;;Lijewski;
L_f72ad56ccd;Barlinek;Głazów;1883-01-01;;false;;Lijewski;
L_55196211c3;Olsztyn;Szczytno;1883-01-01;;false;;Lijewski;
L_03c6eaa5e1;Kondratowice;Łagiewniki Dzierżoniowskie;1883-01-01;;false;;Lijewski;
L_db18858eb5;Barnowo;Korzybie;1883-01-01;;false;;Lijewski;
L_b98759a4bf;Kalety;Tarnowskie Góry;1884-01-01;;false;;Lijewski;
L_d0c66d1583;Lubliniec;Olesno;1884-01-01;;false;;Lijewski;
L_c28037d9a4;Kobierzyce;Wrocław Główny;1884-01-01;;false;;Lijewski;
L_73cd660864;Lubaczów;Munina;1884-01-01;;false;;Semaforek;
L_2379870eb3;Lubaczów;Werchrata;1884-01-01;;false;;Lijewski;
L_93c0a4230d;Rawa Ruska;Werchrata;1884-01-01;;false;;Lijewski;
L_68a0f22e14;Krystynopol;Sokal;1884-01-01;;false;;Semaforek;
L_1bd7df9b08;Oświęcim;Spytkowice;1884-01-01;;false;;Lijewski;
L_91f2bfc523;Skawina;Spytkowice;1884-01-01;;false;;Lijewski;
L_f04672ec7a;Kraków Płaszów;Skawina;1884-01-01;;false;;Lijewski;
L_14fa463e0c;Lubawa;Zajączkowo Lubawskie;1884-01-01;;false;;Lijewski;
L_9da494f754;Pupy;Szczytno;1884-01-01;;false;;Lijewski;
L_fd7ba2f3da;Pupy;Ruciane Nida;1884-01-01;;false;;Lijewski;
L_08476ea6e4;Pisz;Ruciane Nida;1884-01-01;;false;;Lijewski;
L_667a2675ca;Barnowo;Bytów;1884-01-01;;false;;Lijewski;
L_e47f86a569;Gorlice Zagórzany;Stróże;1884-01-01;;false;;Lijewski;
L_a4677b1902;Gorlice Zagórzany;Jasło;1884-01-01;;false;;Lijewski;
L_6043750a37;Jasło;Krosno;1884-01-01;;false;;Lijewski;
L_0c75829c02;Krosno;Sanok;1884-01-01;;false;;Lijewski;
L_ea02cf7f87;Sanok;Zagórz;1884-01-01;;false;;Lijewski;
L_75565fc4a4;Orzesze;Żory;1884-01-01;;false;;Lijewski;
L_cc5d10bd3b;Kobierzyce;Pustków Żurowski;1884-01-01;;false;;Lijewski;
L_d7a5376bcd;Fischhausen;Palmnicken;1884-01-01;;false;;Semaforek;
L_9917d6f35c;Pszczółki;Sobowidz;1884-01-01;;false;;Lijewski;
L_ebfb4e9a30;Kalety;Lubliniec;1884-01-01;;false;;Lijewski;
