line_id;station_1;station_2;opened;closed;electrified;gauge_mm;source;comment
L_b247c1db30;Gierałtowice;Knurów;1908-01-01;;false;;;
L_dca4d71bdd;Skórcz;Szlachta;1908-01-01;;false;;;
L_069b4851ea;Trzciel;Zbąszyń;1908-01-01;;false;;Lijewski;
L_586f72a1b0;Międzychód;Trzciel;1908-01-01;;false;;Lijewski;
L_ef6286beb1;Skoki;Wągrowiec;1908-01-01;;false;;Lijewski;
L_615e454e00;Gołańcz;Wągrowiec;1908-01-01;;false;;Lijewski;
L_da5b9c2186;Gołańcz;Kcynia;1908-01-01;;false;;Lijewski;
L_63f6dbff69;Kcynia;Szubin;1908-01-01;;false;;Lijewski;
L_ee67b7fff7;Chodzież;Gołańcz;1908-01-01;;false;;Lijewski;
L_a67d2faaa6;Kruszwica;Strzelno;1908-01-01;;false;;Lijewski;
L_ed3a9ff05d;Kurowice;Lwów Podzamcze;1908-01-01;;false;;Semaforek;
L_c3266fc853;Kowel;Włodzimierz Wołyński;1908-01-01;;false;;Semaforek;
L_c0bbccf24e;Dobre Kujawskie;Nieszawa Waganiec;1908-01-01;;false;750.0;Atlas Kolejowy;Lijewski podaje Nieszawa-Dobre Aleksandrowskie-Radziejów-Wąsowo, mieszkając kilka różnych linii w jedną.
L_0d2a7e626a;Dobre Kujawskie;Radziejów Kujawski;1908-01-01;;false;750.0;Atlas Kolejowy;Atlas Kolejowy sprawdzony z informacjami z Lijewskiego.
L_62337a4e51;Radziejów Kujawski;Wąsewo Wieś;1908-01-01;;false;750.0;Atlas Kolejowy;Atlas Kolejowy sprawdzony z informacjami z Lijewskiego.
L_9943a5883a;Wąsewo Dwór;Wąsewo Wieś;1908-01-01;;false;750.0;Atlas Kolejowy;Atlas Kolejowy sprawdzony z informacjami z Lijewskiego.
L_6a9b16954d;Piotrków Kujawski;Wąsewo Dwór;1908-01-01;;false;750.0;Atlas Kolejowy;Atlas Kolejowy sprawdzony z informacjami z Lijewskiego.
L_b8b190f63f;Dobre Kujawskie;Płowce;1922-01-01;;false;750.0;Semaforek;
L_c5be080668;Kurowice;Wołków;1909-01-01;;false;;;
L_afcf8e1916;Pruszcz Bagienica;Terespol Pomorski;1909-01-01;;false;;Lijewski;
L_912e9aba8f;Pruszcz Bagienica;Więcbork;1909-01-01;;false;;Lijewski;
L_edd824b958;Grodzisk Wielkopolski;Luboń koło Poznania;1909-01-01;;false;;Lijewski;
L_e68105b731;Zaniemyśl;Środa Wielkopolska Miasto;1953-01-01;;false;750.0;Semaforek;
L_5a5af3cb7e;Opalenie;Smętowo;1909-01-01;;false;;Lijewski;
L_75da45776f;Potutory;Wołków;1909-01-01;;false;;;
L_bc0fd8fddd;Podhajce;Potutory;1909-01-01;;false;;;
L_dad3703478;Knurów;Leszczyny;1909-01-01;;false;;Lijewski;Leszczyny to inaczej stacja Rzędówka.
L_82dbee6e0a;Toruń Mokre;Toruń Północny;1909-01-01;;false;;Lijewski;
L_5d677b0bdb;Odolanów;Ostrów Wielkopolski;1909-01-01;;false;;Lijewski;
L_f4a3e83bd8;Lwów Podzamcze;Sapieżanka;1909-01-01;;false;;Semaforek;
L_08d9167346;Sapieżanka;Stojanów;1909-01-01;;false;;Semaforek;
L_97a6295a46;Koźmin Wielkopolski;Piaski Wielkopolskie;1909-01-01;;false;;Lijewski;
L_44874f98ae;Koronowo;Pruszcz Bagienica;1909-01-01;;false;;Lijewski;
L_d9d28d5322;Sosnowiec Zagórze;Strzemieszyce Północne;1909-01-01;;false;;Lijewski;
L_bf5c42effc;Dąbrowa Górnicza;Sosnowiec Zagórze;1909-01-01;;false;;Lijewski;
L_8aabd3b60e;Czarnowo koło Torunia;Toruń Północny;1910-01-01;;false;;Lijewski;
L_52b66ae757;Jaryszewo Obornickie;Wronki;1910-01-01;;false;;Lijewski;
L_70aeed134c;Jaryszewo Obornickie;Oborniki Wielkopolskie;1910-01-01;;false;;Lijewski;
L_2d79f2a201;Pawłowice Śląskie;Żory;1910-01-01;;false;;Lijewski;
L_d877baf54e;Rakoniewice;Wielichowo;1950-01-01;;false;750.0;Semaforek;
L_fdaa95f232;Grabów nad Prosną;Ostrzeszów;1910-01-01;;false;;Lijewski;W przeciwieństwie do Lijewskiego, Pod-Semaforkiem wymienia stację pośrednią Grabów nad Prosną.
L_e6334124fd;Grabów nad Prosną;Namysłaki;1910-01-01;;false;;Lijewski;W przeciwieństwie do Lijewskiego, Pod-Semaforkiem wymienia stację pośrednią Grabów nad Prosną.
L_e7c02e9358;Dąbrówno;Turza Wielka;1910-01-01;;false;;;
L_96b3ee5dae;Olek;Toruń Północny;1910-01-01;;false;;Lijewski;
L_bd7a2aef0d;Międzybórz Sycowski;Odolanów;1910-01-01;;false;;Lijewski;
L_2ee4b1af38;Nowe Miasto Lubawskie;Zajączkowo Lubawskie;1910-01-01;;false;;Lijewski;
L_9d710a6222;Piekło;Ząbkowice Będzińskie;1910-01-01;;false;;Lijewski;
L_60e1bf3550;Jerzmanowo;Smólsk;1922-01-01;;false;750.0;Semaforek;
L_b47c3716e0;Boniewo;Jerzmanowo;1922-01-01;;false;750.0;Semaforek;
L_33040c69b4;Krośniewice;Ostrowy Wąskotorowe;1951-01-01;;false;750.0;Semaforek;
L_0a36646298;Krośniewice;Most Krzewie;1951-01-01;;false;750.0;Semaforek;
L_2ef41f998b;Koryta;Most Krzewie;1951-01-01;;false;750.0;Semaforek;
L_21f5eccc33;Kielce;Włoszczowa;1911-01-01;;false;;Lijewski;W przeciwieństwie do Lijewskiego, baza Pod-Semaforkiem wymienia stację pośrednią Koniecpol.
